ingredient_id,name,unit,unit_price,stock,recommended_stock
1,Milk Tea,oz,0.15,500,600
2,Jasmine Green Tea,oz,0.18,400,500
3,Chai Tea,oz,0.20,350,450
4,Vanilla,syrup_pump,0.25,200,250
5,Coconut Flavored Black Tea,oz,0.18,300,400
6,Matcha Green Tea,oz,0.30,250,350
7,Red Beans,oz,0.10,180,250
8,Oolong Tea,oz,0.20,280,350
9,Taro Flavored Beverage,oz,0.22,260,350
10,Thai Tea,oz,0.18,420,500
11,Coffee,oz,0.20,500,600
12,Salted Caramel,syrup_pump,0.25,220,300
13,Honeydew Flavored Beverage,oz,0.22,240,350
14,Vanilla Ice Cream,scoop,0.75,150,200
15,Black Coffee,oz,0.15,480,600
16,Mocha Flavor,syrup_pump,0.28,210,300
17,Sweetener,pump,0.05,800,1000
18,Creamer,oz,0.08,700,900
19,Half and Half,oz,0.12,300,400
20,Boba,tbsp,0.12,600,800
